"Arr_";"Secteur";"Id_lieudit";"DATE";"Longitude";"Laltitude";"POINT_X";"POINT_Y";"Type_ZONE";"Precision";"Noms";"Code";"Nb_parcel";"Nb_parcel_NonConst";"Nb_parcel_Const";"Menage";"pop"
"1";5;17;1;"30/05/2016";-4.26936;11.15995;361394.976076;1233962.47651;"Habitation";8;"csps de sarfalao";2;20;3;17;22.4485;116.7322
"2";5;17;2;"30/05/2016";-4.26902;11.15893;361431.623646;1233849.50846;"Habitation";8;"pharmacie-remedis";1;33;0;33;43.5765;226.5978
"3";5;17;3;"30/05/2016";-4.26761;11.17169;361591.656281;1235260.06487;"Habitation";8;"pharmacie hereso";1;19;0;19;25.0895;130.4654
"4";5;5;4;"30/05/2016";-4.27942;11.1617;360297.163407;1234160.75227;"Habitation";8;"mairie arrondissement 5";3;10;1;9;11.8845;61.7994
"5";5;17;5;"30/05/2016";-4.28078;11.15954;360147.605018;1233922.50441;"Habitation";8;"pharmacie sarfalao";1;35;0;35;46.2175;240.331
"6";5;5;6;"30/05/2016";-4.28213;11.1527;359996.895493;1233166.65651;"Habitation";8;"pharmacie la grace";1;22;1;21;27.7305;144.1986
"7";7;21;7;"30/05/2016";-4.31899;11.17741;355983.472756;1235917.23466;"Habitation";8;"csps de colsama";2;33;0;33;43.5765;226.5978
"8";7;21;8;"30/05/2016";-4.31623;11.17725;356284.799407;1235898.19497;"Habitation";8;"pharmacie bien-etre";1;29;0;29;38.2945;199.1314
"9";6;9;9;"30/05/2016";-4.30729;11.18251;357263.663483;1236475.61;"Habitation";6;"pharmacie sifoma";1;10;0;10;13.205;68.666
"10";1;1;10;"30/05/2016";-4.30166;11.17532;357874.970141;1235677.69277;"Commerciale";8;"pharmacie du houet";1;0;0;0;0;0
"11";2;10;11;"30/05/2016";-4.30148;11.17646;357895.18224;1235803.68829;"Commerciale";8;"pharmacie siyara";1;0;0;0;0;0
"12";1;1;12;"30/05/2016";-4.29811;11.17717;358263.546361;1235880.59447;"Commerciale";8;"pharmacie moderne";1;0;0;0;0;0
"13";6;9;13;"30/05/2016";-4.31194;11.16618;356747.855374;1234671.78393;"Habitation";8;"pharmacie de aeroport";1;0;0;0;6.6025;34.333
"14";5;6;14;"30/05/2016";-4.2924;11.16334;358880.416526;1234348.29239;"Habitation";8;"pharmacie Aoudi";1;21;1;20;26.41;137.332
"15";1;8;15;"30/05/2016";-4.30307;11.16899;357717.90548;1234978.28362;"Habitation";6;"pharmacie de hopital";1;6;0;6;7.923;41.1996
"16";1;4;16;"30/05/2016";-4.29303;11.1697;358814.689502;1235051.99569;"Administrative";8;"marie arondissement 1";3;0;0;0;0;0
"17";1;4;17;"30/05/2016";-4.28585;11.17292;359600.341807;1235404.7012;"Habitation";8;"pharmacie  de entente";1;13;0;13;17.1665;89.2658
"18";1;1;18;"30/05/2016";-4.28088;11.17319;360143.220936;1235432.20644;"Habitation";8;"csps guibi ouattara";2;36;1;35;46.2175;240.331
"19";4;16;19;"30/05/2016";-4.27865;11.17411;360387.188047;1235532.90182;"Habitation";8;"pharmacie dafra";1;25;0;25;33.0125;171.665
"20";1;4;20;"30/05/2016";-4.28832;11.17609;359332.132668;1235756.47047;"Habitation";8;"pharmacie lakari ex miyougou";1;21;1;20;26.41;137.332
"21";1;3;21;"30/05/2016";-4.28541;11.18398;359653.713144;1236627.70265;"Commerciale";8;"pharmacie du boulevard";1;7;0;7;9.2435;48.0662
"22";4;15;22;"30/05/2016";-4.27265;11.17782;361044.181404;1235940.38974;"Habitation";8;"pharmacie hadim";1;22;0;22;29.051;151.0652
"23";5;25;23;"30/05/2016";-4.25092;11.16937;363413.197176;1234995.719;"Habitation";8;"pharmacie sibiri";1;26;4;22;29.051;151.0652
"24";4;24;24;"30/05/2016";-4.24925;11.17359;363597.541755;1235461.66406;"Habitation";6;"csps de kua";2;14;2;12;15.846;82.3992
"25";4;24;25;"30/05/2016";-4.24836;11.17671;363696.190259;1235806.31361;"Habitation";6;"pharmacie christ roi";1;29;2;27;35.6535;185.3982
"26";4;24;26;"30/05/2016";-4.25458;11.17409;363015.720741;1235519.42718;"Habitation";8;"mairie arrondissement 4";3;41;12;29;38.2945;199.1314
"27";5;6;27;"31/05/2016";-4.29057;11.16092;359079.101897;1234079.77345;"Habitation";6;"csps de bolomakote";2;17;0;17;22.4485;116.7322
"28";6;20;28;"31/05/2016";-4.32045;11.15822;355814.558136;1233795.55102;"Habitation";6;"pharmacie harmonie";1;26;0;26;34.333;178.5316
"29";6;20;29;"31/05/2016";-4.32408;11.15201;355415.046393;1233110.50139;"Administrative";4;"csps de lafiabouou";2;0;0;0;0;0
